,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,7.444,18.069,21.683,15.985,11.294,3.287
Continuum_2,7.993,20.700,16.523,10.090,1.273,3.701
Continuum_3,5.666,19.324,30.920,1.154,14.789,0.382
