,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.6807,0.0327,0.1501,1.3288,0.6665,0.0993
r_e,7.0877,21.0147,8.7956,2.1253,6.7578,2.9503
n,1.2117,0.0281,1.4487,0.7300,0.8640,2.0441
x_0,27.0234,44.0513,70.9051,47.7052,52.0214,69.5649
