,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.7881,1.2068,0.1635,0.8085,0.2534
r_e,7.0172,1.5661,8.4440,8.3012,1.7561
n,1.1564,0.7623,1.7677,0.9054,0.1000
x_0,27.2268,47.4980,70.3151,51.0317,60.8719
