,Component 1,Component 2,Component 3,Component 4
I_e error,0.0599,0.3258,0.0726,0.1405
r_e error,0.3829,0.3335,2.5810,2.3156
n error,0.0579,0.1884,0.3139,0.1498
x_0 error,0.0645,0.1091,0.0820,0.3402
