,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.9430,0.3204,0.2067,1.3994,0.3965,0.8940,0.2280
r_e,1.6570,8.1175,7.9952,5.6626,2.0754,1.5102,8.0240
n,0.8076,1.4265,1.6043,0.5879,0.2959,0.9152,0.9929
x_0,27.8055,25.5731,70.2047,50.6411,60.9678,47.5100,32.4486
