,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.9068,0.0549,0.0198,0.2312,0.0701,0.4648,0.1455
r_e error,1.0402,1.4225,0.4823,0.5866,0.3322,0.6950,5.0902
n error,0.6699,0.1631,0.0749,0.0774,0.1636,0.4325,0.3565
x_0 error,0.1532,0.2805,0.0432,0.3649,0.2123,0.0562,0.7689
