,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.0551,0.1886,0.1915,0.2535,0.1887,1.6122
r_e error,0.2971,0.9422,1.7117,0.2966,1.5172,34.5887
n error,0.0561,0.0330,0.5261,0.1361,0.1732,20.3411
x_0 error,0.0793,0.5746,0.6792,0.1051,0.4139,0.0805
