,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.033,0.027,0.035,0.032
Continuum_2,0.018,0.016,0.020,0.018
Continuum_3,0.016,0.013,0.017,0.016
