,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.4291,0.4674,0.3266,0.7655,0.0425,834534.9349,0.2059
r_e error,1.8871,53.1992,5.7289,0.3658,2.4459,2037.1956,17.5265
n error,2.1543,4.9568,0.6885,0.7067,0.2781,326316.8834,1.8432
x_0 error,0.0162,0.0528,0.1925,0.1321,0.1280,80.1222,38.4248
