,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.1820,0.0783,1.1121,0.2690,0.0488,0.0195
r_e error,0.5924,1.9775,9.9857,0.5275,1.4478,81.7581
n error,0.4292,0.4654,3.4559,0.3510,0.2566,0.6604
x_0 error,0.0288,0.0714,0.1372,0.1716,0.1260,0.5700
