,Component 1,Component 2,Component 3,Component 4
I_e,0.0384,0.0096,0.0729,0.5249
r_e,17.0248,47.3435,23.3057,1.5165
n,4.2403,4.0029,2.0613,1.0041
x_0,28.7914,56.9880,77.2883,83.0000
