,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.028,0.033,0.037,0.030
Continuum_2,0.015,0.020,0.021,0.018
Continuum_3,0.013,0.018,0.020,0.018
