Name,Flux,Error flux
Hgamma,1.2811481706233678,0.09600955768762313
Hbeta,3.2812322446521134,0.17373853913617468
Halpha,14.394992759295812,0.153281928569955
[SII]6716,2.1705448998240167,0.09157746062574372
[SII]6731,1.5293848964069656,0.06591004602710737
HeII4687,0.013382286131197423,0.014864144471663131
HeI5876,0.48687288699309894,0.03234391418043641
[OIII]5007_d,6.3132789781361165,0.40000362776599024
[OI]6300_d,0.13981494785508136,0.0351291682896977
[NII]6583_d,4.125429102504365,0.18652948465304506
