,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,4.810,0.097,0.020
Spettro_4,0.943,0.025,0.027
Spettro_5,0.057,0.001,0.019
Spettro_6,6.674,0.219,0.033
Spettro_7,63.581,1.488,0.023
Spettro_8,57.598,2.778,0.048
Spettro_9,10.433,0.413,0.040
Spettro_10,9.920,0.465,0.047
Spettro_11,6.722,0.581,0.086
Spettro_12,9.201,0.769,0.084
Spettro_13,13.828,0.914,0.066
Spettro_14,62.129,3.353,0.054
Spettro_15,43.355,1.205,0.028
Spettro_16,81.919,2.463,0.030
Spettro_17,199.198,5.877,0.030
Spettro_18,33.481,0.776,0.023
Spettro_19,21.871,0.514,0.023
Spettro_20,12.778,0.265,0.021
