,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,21.110,0.388,0.018
Spettro_4,22.505,0.156,0.007
Spettro_5,35.006,0.395,0.011
Spettro_6,93.649,2.227,0.024
Spettro_7,266.742,12.231,0.046
Spettro_8,302.706,9.605,0.032
Spettro_9,83.564,4.138,0.050
Spettro_10,62.905,10.290,0.164
Spettro_11,72.410,16.492,0.228
Spettro_12,96.187,14.917,0.155
Spettro_13,133.202,12.526,0.094
Spettro_14,335.191,25.678,0.077
Spettro_15,112.893,5.312,0.047
Spettro_16,275.330,13.317,0.048
Spettro_17,256.571,9.121,0.036
Spettro_18,65.693,1.566,0.024
Spettro_19,86.295,1.556,0.018
Spettro_20,48.169,0.775,0.016
