,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,6.036,0.110,0.018
Spettro_4,4.639,0.066,0.014
Spettro_5,14.400,0.161,0.011
Spettro_6,23.151,0.532,0.023
Spettro_7,142.821,2.313,0.016
Spettro_8,49.979,1.826,0.037
Spettro_9,45.672,0.901,0.020
Spettro_10,35.319,1.935,0.055
Spettro_11,64.562,2.718,0.042
Spettro_12,72.271,2.432,0.034
Spettro_13,65.771,1.864,0.028
Spettro_14,118.194,3.236,0.027
Spettro_15,72.948,1.066,0.015
Spettro_16,77.352,2.497,0.032
Spettro_17,57.730,1.297,0.022
Spettro_18,17.943,0.325,0.018
Spettro_19,25.937,0.469,0.018
Spettro_20,13.836,0.240,0.017
