Name,Flux,Error_flux
Hgamma,1.0051777350433695,0.09636355386958152
Hbeta,2.1431559519697716,0.1428808343362123
Halpha,5.783035378667258,0.19564174911937757
[SII]6716,1.248496219435177,0.02840088016655611
[SII]6731,0.9006040905724962,0.02002862431377344
HeII4687,0.04100741130682447,0.007871044859436713
HeI5876,0.2125547839900083,0.022579561657640232
[OIII]4959,0.3970351298647102,0.07572459443627941
[OIII]5007,1.1911053895941306,0.07572459443627941
[OI]6300,0.23871233637834377,0.055598740286219896
[OI]6364,0.07957077879278125,0.055598740286219896
[NII]6548,0.5595912432493655,0.08761332370471835
[NII]6583,1.6787737297480965,0.08761332370471835
