Line,Flux,Error flux
Hgamma,0.035071376281144984,0.022788811006779652
Hbeta,0.0683890199977931,0.011578151696649056
Halpha,0.4192326948712442,0.014260602409075793
[SII]6716,0.12155784876427023,0.018930062395518275
[SII]6731,0.04232734659704139,0.016007940541329434
HeII4687,0.013397607976628104,0.008244862936314054
HeI5876,0.014688728754696966,0.008338754522103977
[OIII]5007_d,0.1189033526752006,0.010283592172437414
[OI]6300_d,0.03531597900946256,0.013814186161405895
[NII]6583_d,0.21105256216694432,0.040961124944147435
