,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,6.247,0.126,0.020
Spettro_4,13.527,0.093,0.007
Spettro_5,13.831,0.171,0.012
Spettro_6,24.399,0.530,0.022
Spettro_7,67.465,3.094,0.046
Spettro_8,80.960,2.569,0.032
Spettro_9,29.522,1.602,0.054
Spettro_10,23.194,4.156,0.179
Spettro_11,25.028,6.244,0.249
Spettro_12,33.427,4.732,0.142
Spettro_13,44.181,3.793,0.086
Spettro_14,97.607,6.826,0.070
Spettro_15,34.445,1.479,0.043
Spettro_16,58.477,3.098,0.053
Spettro_17,48.455,1.887,0.039
Spettro_18,18.497,0.403,0.022
Spettro_19,18.125,0.358,0.020
Spettro_20,11.724,0.207,0.018
