Name,Flux,Error flux
Hgamma,0.9173119107680845,0.09884936028360804
Hbeta,2.516937020639604,0.20620393068086063
Halpha,11.27595094944474,0.21889731632662426
[SII]6716,2.003225856271843,0.11526042615970934
[SII]6731,1.4035123566060763,0.06548919479346785
HeII4687,0.14324650587675095,0.06350763347164975
HeI5876,0.44550934458932456,0.05011461528860734
[OIII]5007_d,3.5137344231364587,0.16418853394869035
[OI]6300_d,0.3405691014356911,0.019584965068233057
[NII]6583_d,3.059298607290484,0.13080642960639385
