,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,70.384,0.183,4.788,0.544,0.642
Green,0.161,90.570,4.993,9.418,0.415
Purple,29.456,8.007,90.219,27.177,0.936
Orange,0.000,1.240,0.000,62.861,0.000
Chocolate,0.000,0.000,0.000,0.000,98.007
