,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,74.276,0.000,0.002,0.000,0.000
Green,0.000,0.002,0.179,0.000,0.000
Magenta,25.724,0.000,99.818,0.000,99.342
Orange,0.000,99.998,0.000,100.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.658
