,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,63.716,0.003,0.506,0.001,0.000
Green,0.024,73.391,1.060,14.892,0.060
Purple,36.260,26.469,98.434,56.690,40.871
Orange,0.000,0.138,0.000,28.417,0.000
Chocolate,0.000,0.000,0.000,0.000,59.070
