,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,88.131,15.400,2.674,4.634,3.801
Green,10.074,79.533,28.981,48.631,0.546
Magenta,0.000,0.001,63.396,1.417,0.000
Orange,0.001,0.083,2.023,36.364,0.011
Chocolate,1.794,4.983,2.926,8.953,95.643
