,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,85.904,7.551,0.075,1.432,0.984
Green,13.595,87.122,1.673,32.420,3.303
Magenta,0.000,0.000,97.716,3.756,0.000
Orange,0.501,5.327,0.536,62.392,6.746
Chocolate,0.000,0.000,0.000,0.000,88.967
