,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,85.762,0.066,0.000,0.000,0.000
Green,13.974,95.823,28.896,30.229,22.812
Magenta,0.000,0.021,55.525,9.058,0.000
Orange,0.099,3.088,14.665,58.850,1.362
Chocolate,0.165,1.002,0.914,1.863,75.826
