,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,87.498,0.035,0.000,0.000,0.000
Green,12.271,96.116,23.092,28.828,21.253
Magenta,0.000,0.010,64.354,1.311,0.000
Orange,0.085,2.871,11.788,68.000,1.241
Chocolate,0.145,0.967,0.766,1.861,77.506
