,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.687,0.107,0.167,0.059,0.093,0.101
Green,0.394,99.335,1.319,0.350,0.461,0.370
Magenta,0.000,0.013,73.370,21.804,6.800,0.000
Orange,0.000,0.000,10.485,63.463,9.392,0.001
Chocolate,0.918,0.546,14.659,14.324,83.255,37.018
Purple,0.000,0.000,0.000,0.000,0.000,62.510
