,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.127,0.093,0.383,0.183,0.224,0.650
Green,0.146,99.616,0.398,0.104,0.078,0.073
Magenta,0.000,0.037,72.098,32.147,14.491,0.040
Orange,0.469,0.209,25.313,63.792,21.546,17.799
Chocolate,0.000,0.001,0.651,2.802,61.520,0.752
Purple,0.257,0.044,1.158,0.973,2.141,80.686
