L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.04e+41,1.73e+40,1.25e+42,3.96e+41,1.93e+43,6.11e+42
4.88e+40,8.98e+39,5.78e+41,2.01e+41,8.89e+42,3.1e+42
3.64e+40,7.03e+39,4.29e+41,1.55e+41,6.6e+42,2.39e+42
