,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,10.175,7.293,8.995,7.780,7.972,9.205,7.900
Continuum_2,11.576,10.035,11.251,9.613,9.922,12.117,10.701
Continuum_3,10.892,10.436,9.777,10.228,10.270,11.360,8.485
