,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.059,0.038,0.055,0.041,0.043,0.063,0.045
Continuum_2,0.049,0.035,0.049,0.040,0.041,0.051,0.035
Continuum_3,0.036,0.029,0.040,0.035,0.036,0.036,0.023
