,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,74.454,1.358,0.231,0.000,0.000
Green,0.000,30.312,22.804,0.000,0.000
Magenta,0.000,0.029,1.560,0.000,0.000
Orange,25.510,68.167,75.241,99.715,19.998
Chocolate,0.036,0.134,0.163,0.285,80.002
