,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,1.9971,6.4236,0.0763,1.5901,0.5278
r_e error,0.0642,4.4736,42.4132,1.5418,0.3486
n error,0.0291,1.5390,1.2952,0.1401,0.0726
x_0 error,0.0633,0.0595,0.0449,3.1111,0.3033
