,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,8.7748,5.6196,0.7016,0.1125,0.4686,11.0187
r_e,4.5470,7.9262,7.4203,25.2749,11.5962,3.1252
n,1.4950,0.3022,2.2909,4.8223,2.4949,0.1090
x_0,39.8195,50.7273,57.2017,38.2056,48.8935,39.7609
