,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,2.1567,1.0526,0.8777,0.3542,1.0515,4.7072
r_e error,0.5074,0.7971,8.0174,51.0009,22.3886,1.1683
n error,0.1456,0.0339,0.8801,2.4456,1.9262,0.1029
x_0 error,0.1264,1.6215,0.0377,0.1262,0.0159,0.1206
