,Component 1,Component 2,Component 3,Component 4
I_e,6.2133,1.2990,3.5131,33.6313
r_e,6.7378,11.1531,4.6685,1.9243
n,1.0880,1.7899,1.1512,0.6471
x_0,41.1120,49.0533,57.1174,39.0422
