,Component 1,Component 2,Component 3,Component 4
I_e error,0.8564,0.2479,0.3703,3.4472
r_e error,0.5556,1.4948,0.3871,0.0927
n error,0.1197,0.1364,0.0797,0.0508
x_0 error,0.2657,0.0613,0.0489,0.1164
