,Component 1,Component 2,Component 3,Component 4
I_e error,0.1978,0.0141,0.0443,0.0552
r_e error,0.2724,635.3446,0.9422,1.2812
n error,0.3090,2.9015,0.0511,0.4862
x_0 error,0.0676,0.0013,0.9959,0.2449
