,Component 1,Component 2,Component 3,Component 4
I_e,0.5259,0.0033,0.2869,0.0878
r_e,1.7335,205.5612,16.2470,3.0087
n,0.6496,3.2695,0.6583,0.7171
x_0,31.6884,36.2183,44.5851,60.4012
