,Component 1,Component 2,Component 3,Component 4
I_e,0.3828,0.1655,0.2814,0.0422
r_e,1.4059,18.2887,7.7887,21.1340
n,0.6100,0.9798,0.3822,1.4551
x_0,31.5033,35.4428,47.1774,60.7347
