,Component 1,Component 2,Component 3,Component 4
I_e error,971.3293,1.9668,2.3351,2.8422
r_e error,167.5206,33.2235,1.9514,2.8192
n error,43.1482,0.7703,0.1035,1.0594
x_0 error,0.5860,6.0023,2.0297,0.7409
