,Component 1,Component 2,Component 3,Component 4
I_e,0.3555,0.0415,0.2831,0.0159
r_e,2.4928,52.2385,12.3748,18.1067
n,1.5943,1.8093,0.5711,1.9204
x_0,31.8897,36.0059,46.1038,61.5934
