,Component 1,Component 2,Component 3,Component 4
I_e error,10.1831,4.4267,1.8899,2.2940
r_e error,3.2064,7.1877,10.0365,2.3789
n error,1.9458,0.1417,0.3250,0.4214
x_0 error,0.4431,6.3289,0.9759,2.1183
