,Component 1,Component 2,Component 3,Component 4
I_e error,0.0439,0.3290,0.1607,0.0236
r_e error,20.3660,2.4152,2.4002,31.5707
n error,1.0230,0.3703,0.1886,0.6169
x_0 error,0.0623,0.1836,2.4733,0.2411
