,Component 1,Component 2,Component 3,Component 4
I_e,4.5809,3.3979,6.7208,2.7342
r_e,2.1011,16.0800,9.8612,5.3860
n,0.6042,0.1119,0.5091,0.7156
x_0,33.0897,36.9985,45.4869,61.2662
