,SNR,Signal,Noise
Spettro_1,-0.656,-0.040,0.061
Spettro_2,1.308,0.059,0.045
Spettro_3,-1.284,-0.081,0.063
Spettro_4,1.479,0.084,0.056
Spettro_5,1.186,0.071,0.060
Spettro_6,5.842,0.511,0.087
Spettro_7,25.532,1.746,0.068
Spettro_8,11.749,0.804,0.068
Spettro_9,2.447,0.222,0.091
Spettro_10,1.869,0.156,0.084
Spettro_11,1.787,0.121,0.068
Spettro_12,1.999,0.128,0.064
Spettro_13,1.896,0.141,0.074
Spettro_14,0.392,0.022,0.057
Spettro_15,0.068,0.004,0.062
Spettro_16,1.243,0.069,0.056
Spettro_17,-0.147,-0.009,0.060
Spettro_18,-0.525,-0.027,0.050
Spettro_19,0.026,0.001,0.056
Spettro_20,0.039,0.003,0.070
