L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
4.15e+37,2.45e+37,4.27e+38,3.77e+38,nan,nan
1.91e+37,9.83e+36,1.94e+38,1.68e+38,nan,nan
1.55e+39,8.02e+38,1.72e+40,1.19e+40,2.63e+41,1.83e+41
