L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.29e+38,2.17e+37,1.36e+39,8.28e+38,nan,nan
1.9e+39,3.11e+38,2.11e+40,9.95e+39,nan,nan
3.92e+39,6.32e+38,4.41e+40,1.93e+40,nan,nan
3.12e+40,5.33e+39,3.67e+41,1.31e+41,nan,nan
5.76e+37,8.84e+36,5.97e+38,3.87e+38,9.15e+39,5.93e+39
3.64e+39,5.51e+38,4.1e+40,1.79e+40,nan,nan
3.72e+40,5.6e+39,4.39e+41,1.49e+41,nan,nan
