,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.317,0.312,0.342,0.643
Continuum_2,0.241,0.261,0.260,0.506
Continuum_3,0.202,0.232,0.217,0.423
