,Component 1,Component 2,Component 3,Component 4
I_e,0.0009,0.0449,0.0331,0.0177
r_e,8.4227,5.2657,2.3741,59.5926
n,5.0425,1.1966,0.1010,0.9278
x_0,43.1055,55.4765,63.9994,45.0000
