,Component 1,Component 2,Component 3,Component 4
I_e,2.7553,0.7060,0.2105,0.3616
r_e,1.1689,5.6101,2.8410,50.0000
n,0.3395,0.3306,0.5894,1.0273
x_0,44.0000,55.1892,62.0000,45.0000
