,Component 1,Component 2,Component 3,Component 4
I_e,2.2435,0.8425,0.0239,0.0172
r_e,0.0336,0.0683,15.5299,50.0000
n,0.6929,0.1627,0.2687,0.7862
x_0,42.8851,55.9901,63.5481,29.5692
