,Component 1,Component 2,Component 3,Component 4
I_e,0.0199,1.9268,0.0159,0.0101
r_e,10.0000,0.0188,13.1009,50.4792
n,1.1912,7.4008,0.9511,0.7952
x_0,44.1253,55.9360,63.5481,27.6242
