,Component 1,Component 2,Component 3,Component 4
I_e,0.0185,0.0243,0.0076,0.0156
r_e,2.5429,9.9997,40.4771,50.0056
n,1.9140,1.0007,0.1000,0.7283
x_0,42.9788,54.4566,63.5487,29.2119
