,Component 1,Component 2,Component 3,Component 4
I_e,1.3388,0.5517,0.0196,0.4145
r_e,1.5921,5.4829,0.7297,50.0000
n,0.7516,0.3809,3.5852,0.8640
x_0,43.7398,55.4113,62.3113,45.0000
