,Component 1,Component 2,Component 3,Component 4
I_e,0.0165,0.2372,0.0195,0.0420
r_e,4.9892,0.0548,23.4412,28.1934
n,1.9681,5.7332,0.8839,0.1000
x_0,43.8927,55.9871,63.5481,29.7537
