,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,14.3739,0.5160,1.7631,0.0976,0.0396
r_e,0.0222,2.3958,5.0074,46.8680,8.4222
n,7.3967,0.1030,1.5228,0.9896,3.1068
x_0,15.0727,20.0010,32.7260,62.0550,70.3393
