Name,Flux,Error_flux
Hgamma,0.0,0.02738445315556572
Hbeta,0.1322103890987218,0.045810452059103474
Halpha,0.2584328022772904,0.04611968406502568
[SII]6716,0.1719501500080997,0.011599945617828143
[SII]6731,0.051448024711504635,0.013481649114354214
HeII4687,0.004400109894551173,0.021433387121581732
HeI5876,0.020918577287814787,0.021344678962075585
[OIII]4959,0.04332334947943989,0.03518305753764289
[OIII]5007,0.12997004843831966,0.03518305753764289
[OI]6300,0.0726814112792347,0.0340257026595848
[OI]6364,0.024227137093078235,0.0340257026595848
[NII]6548,0.055289642280481666,0.02241429797269287
[NII]6583,0.165868926841445,0.02241429797269287
