,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,6.974,5.807,7.500,3.659
Continuum_2,10.852,10.202,11.686,6.947
Continuum_3,10.848,10.217,12.355,7.424
