,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.116,0.161,0.249,0.159
Continuum_2,0.134,0.148,0.241,0.168
Continuum_3,0.114,0.127,0.212,0.148
