,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.037,0.031,0.025,0.030
Continuum_2,0.020,0.021,0.014,0.018
Continuum_3,0.017,0.018,0.017,0.018
