L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
3.12e+39,8.98e+38,3.5e+40,1.78e+40,nan,nan
1.08e+39,2.25e+38,1.19e+40,6.13e+39,1.82e+41,9.41e+40
6.25e+38,1.79e+38,6.79e+39,3.92e+39,nan,nan
1.85e+38,3.63e+37,1.96e+39,1.17e+39,3e+40,1.8e+40
1.08e+39,2.37e+38,1.18e+40,6.16e+39,nan,nan
