L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
2.44e+39,7.22e+38,2.72e+40,1.43e+40,nan,nan
1.33e+39,2.61e+38,1.47e+40,7.34e+39,2.25e+41,1.13e+41
9.31e+38,2.2e+38,1.02e+40,5.45e+39,nan,nan
4.75e+38,1.17e+38,5.13e+39,2.93e+39,nan,nan
